variant_name,score_name,stage_id,meta_year,meta_race,stage_nr,rows,ndcg_at_5,ndcg_at_10,ndcg_at_20,top_1_accuracy,top_5_accuracy,top_10_accuracy,top_20_accuracy,map,map_at_10,spearman_rho
standard,score_topk_raw_sum,tour-de-france_2024_ST3,2024,tour-de-france,3,173,0.5087403079104242,0.44892651428927643,0.40553904805637114,0.0,0.0,0.0,0.0,0.31932751389719244,0.19999999999999998,0.17382527314108778
standard,score_topk_raw_sum,tour-de-france_2024_ST4,2024,tour-de-france,4,172,0.8560032474461693,0.8084829428094795,0.7892048131370024,0.0,1.0,1.0,1.0,0.6891392943540304,0.5225,0.564382120781184
standard,score_topk_raw_sum,tour-de-france_2024_ST5,2024,tour-de-france,5,172,0.4322558173189044,0.4240090396469832,0.4370321842790732,0.0,0.0,1.0,1.0,0.4105930308260349,0.15416666666666665,0.29080262155590614
standard,score_topk_raw_sum,tour-de-france_2024_ST6,2024,tour-de-france,6,172,0.2826335043946801,0.3762078836681788,0.3717929471456163,0.0,0.0,1.0,1.0,0.399497999884046,0.10952380952380951,0.33011180997257217
standard,score_topk_raw_sum,tour-de-france_2024_ST8,2024,tour-de-france,8,171,0.2557109115808904,0.2767196660749483,0.2867621559923957,0.0,0.0,0.0,0.0,0.28340198066153693,0.08333333333333333,0.29718002255981957
standard,score_topk_raw_sum,tour-de-france_2024_ST9,2024,tour-de-france,9,171,0.0,0.0,0.08701492873186953,0.0,0.0,0.0,0.0,0.17661881703105384,0.0,0.03252453980368158
standard,score_topk_raw_sum,tour-de-france_2025_ST1,2025,tour-de-france,1,179,0.48522855511632257,0.380629378875343,0.3814457646550778,1.0,1.0,1.0,1.0,0.24277334367786801,0.15,0.24570334567823734
standard,score_topk_raw_sum,tour-de-france_2025_ST10,2025,tour-de-france,10,170,0.548658840798673,0.4646165380780067,0.4629081376709139,0.0,0.0,0.0,0.0,0.5408142724809677,0.26,0.4656505517186632
standard,score_topk_raw_sum,tour-de-france_2025_ST11,2025,tour-de-france,11,170,0.3391602052736162,0.33804954199999904,0.3780744050843112,0.0,0.0,0.0,1.0,0.22271859681218986,0.13333333333333333,0.05409957193715232
standard,score_topk_raw_sum,tour-de-france_2025_ST12,2025,tour-de-france,12,169,0.6455709457931597,0.5298445493251251,0.5705881399573567,1.0,1.0,1.0,1.0,0.43597932712736887,0.24285714285714283,0.4612276863408085
standard,score_topk_raw_sum,tour-de-france_2025_ST14,2025,tour-de-france,14,165,0.5531464700081437,0.4900300391364779,0.5085673068326084,0.0,0.0,0.0,0.0,0.42859184832018327,0.2,0.4506932385862742
standard,score_topk_raw_sum,tour-de-france_2025_ST15,2025,tour-de-france,15,164,0.0,0.08878855502583602,0.13671065724636283,0.0,0.0,0.0,0.0,0.1471243064980064,0.016666666666666666,0.1190891406962034
standard,score_topk_raw_sum,tour-de-france_2025_ST16,2025,tour-de-france,16,163,0.4818177150966345,0.4611350230120393,0.5417198433310899,0.0,0.0,0.0,0.0,0.48705202421125354,0.2375,0.43420286963605836
standard,score_topk_raw_sum,tour-de-france_2025_ST17,2025,tour-de-france,17,162,0.5531464700081437,0.4577498668511918,0.41550425929219426,0.0,1.0,1.0,1.0,0.33349332613899807,0.2,0.07356176814699088
standard,score_topk_raw_sum,tour-de-france_2025_ST18,2025,tour-de-france,18,159,0.69921481985085,0.6192927103168169,0.6316690751255511,0.0,1.0,1.0,1.0,0.5005851369136398,0.38769841269841265,0.44723549080487224
standard,score_topk_raw_sum,tour-de-france_2025_ST19,2025,tour-de-france,19,159,0.5531464700081437,0.4611350230120393,0.5441841433473776,0.0,0.0,0.0,0.0,0.3838816252037848,0.2,0.41867387150704566
standard,score_topk_raw_sum,tour-de-france_2025_ST2,2025,tour-de-france,2,179,0.27051296561346355,0.1988096709156141,0.2854820857637751,0.0,0.0,0.0,1.0,0.2799884091544345,0.05,0.23501349570020713
standard,score_topk_raw_sum,tour-de-france_2025_ST20,2025,tour-de-france,20,158,0.0,0.05242205769552901,0.09118072108958131,0.0,0.0,0.0,0.0,0.13369674123009406,0.0125,0.23723870822488166
standard,score_topk_raw_sum,tour-de-france_2025_ST21,2025,tour-de-france,21,158,0.2261068035157441,0.38608459793834027,0.4047987140502092,0.0,0.0,1.0,1.0,0.29082959200717245,0.21619047619047618,0.24702331602670685
standard,score_topk_raw_sum,tour-de-france_2025_ST3,2025,tour-de-france,3,178,0.3835663673713356,0.36498366223172285,0.46611242892191423,0.0,0.0,1.0,1.0,0.2931341933816335,0.1595238095238095,0.20611876003400256
standard,score_topk_raw_sum,tour-de-france_2025_ST4,2025,tour-de-france,4,178,0.3122376124598264,0.2821819520401682,0.3370459578196746,0.0,1.0,1.0,1.0,0.3123287748407313,0.11666666666666665,0.19917355459827288
standard,score_topk_raw_sum,tour-de-france_2025_ST6,2025,tour-de-france,6,177,0.41249933917620973,0.35896775807854564,0.34748977196902603,0.0,0.0,0.0,0.0,0.3983195971653416,0.2,0.38155935665933766
standard,score_topk_raw_sum,tour-de-france_2025_ST7,2025,tour-de-france,7,175,0.4400930682502716,0.32344016440269563,0.33892727707265413,0.0,1.0,1.0,1.0,0.30037361832932585,0.2,0.10019928347514555
standard,score_topk_raw_sum,tour-de-france_2025_ST8,2025,tour-de-france,8,174,0.5531464700081437,0.5580017795534814,0.4958398064976231,0.0,1.0,1.0,1.0,0.36610983398952696,0.28194444444444444,0.3022512030524787
standard,score_topk_raw_sum,tour-de-france_2025_ST9,2025,tour-de-france,9,173,0.5531464700081437,0.48516024660404344,0.6014642234084321,0.0,0.0,1.0,1.0,0.4184431584441187,0.2375,0.2432265182101785
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST10,2024,vuelta-a-espana,10,155,0.2139862647345275,0.24266957195157546,0.2542775364496521,0.0,1.0,1.0,1.0,0.21837630821234955,0.08333333333333333,0.2734394637620444
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST11,2024,vuelta-a-espana,11,151,0.0,0.05002335588535459,0.0990132416345239,0.0,0.0,0.0,0.0,0.16046845663360126,0.01111111111111111,0.23721505751132796
standard,score_topk_raw_sum,vuelta-a-espana_2024_ST12,2024,vuelta-a-espana,12,149,0.18438215666938124,0.21074928811319568,0.2780261582409974,0.0,0.0,0.0,0.0,0.4326624876932792,0.0,0.389947397061491
