variant_name,scope,evaluation_name,target,actual_col,score_name,threshold,threshold_source,rows,actual_positives,predicted_positives,precision,recall,f1,roc_auc,average_precision
thinking_medium_roc_auc,overall,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,17802,556,2409,0.1232876712328767,0.5341726618705036,0.20033726812816188,0.8002505220687187,0.18993540080048238
thinking_medium_roc_auc,overall,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,17802,1104,2965,0.19190556492411467,0.5153985507246377,0.2796755959695257,0.7765396163907506,0.23193204896592515
thinking_medium_roc_auc,overall,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,17802,2205,3791,0.30308625692429436,0.5210884353741496,0.38325550366911276,0.7586309332991387,0.3554316119024967
thinking_medium_roc_auc,overall,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,17802,1104,10299,0.09496067579376638,0.8858695652173914,0.1715338068929229,0.7802647327372365,0.2380443745838492
thinking_medium_roc_auc,overall,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,17802,1104,1290,0.2596899224806202,0.30344202898550726,0.27986633249791143,0.7802647327372365,0.2380443745838492
thinking_medium_roc_auc,year_2024,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,8933,284,1189,0.12531539108494533,0.5246478873239436,0.2023082145281738,0.7901813121764464,0.19753269791996841
thinking_medium_roc_auc,year_2024,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,8933,567,1521,0.19592373438527286,0.5255731922398589,0.28544061302681994,0.7718250279012093,0.23946845318126744
thinking_medium_roc_auc,year_2024,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,8933,1135,1915,0.30861618798955615,0.520704845814978,0.38754098360655737,0.7593818250020055,0.3686880777972411
thinking_medium_roc_auc,year_2024,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,8933,567,5230,0.09598470363288719,0.8853615520282186,0.17319303087804036,0.7732301020212408,0.24363011664269196
thinking_medium_roc_auc,year_2024,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,8933,567,672,0.2648809523809524,0.31393298059964725,0.28732849071832123,0.7732301020212408,0.24363011664269196
thinking_medium_roc_auc,year_2025,top5_native_0_5,top5,actual_top5,p_top5_raw,0.5,native_0_5,8869,272,1220,0.12131147540983607,0.5441176470588235,0.19839142091152814,0.810978864036018,0.19102266829434222
thinking_medium_roc_auc,year_2025,top10_native_0_5,top10,actual_top10,p_top10_raw,0.5,native_0_5,8869,537,1444,0.18767313019390583,0.5046554934823091,0.2735991923271075,0.7817489904529976,0.22811383472022695
thinking_medium_roc_auc,year_2025,top20_native_0_5,top20,actual_top20,p_top20_raw,0.5,native_0_5,8869,1070,1876,0.2974413646055437,0.5214953271028038,0.3788187372708758,0.7575937725061803,0.3415006856487702
thinking_medium_roc_auc,year_2025,frank_hall_top10_native_0_5,top10,actual_top10,score_topk_raw_sum,0.5,native_0_5,8869,537,5069,0.0939041231012034,0.8864059590316573,0.1698180520870496,0.7874817512701473,0.2381032341027059
thinking_medium_roc_auc,year_2025,frank_hall_top10_validated_threshold,top10,actual_top10,score_topk_raw_sum,2.1,optimized_valid_2023_f1,8869,537,618,0.2540453074433657,0.29236499068901306,0.27186147186147186,0.7874817512701473,0.2381032341027059
